Strain	Replicate	Specie	Temperature	Rate	OD
Su-1	1	SU	25	0.41	1.140
Su-1	2	SU	25	0.384	1.150
Su-1	3	SU	25	0.391	1.122
Su-2	1	SU	25	0.383	1.131
Su-2	2	SU	25	0.374	1.128
Su-2	3	SU	25	0.396	1.091
Su-3	1	SU	25	0.386	1.227
Su-3	2	SU	25	0.403	1.276
Su-3	3	SU	25	0.364	1.150
Su-4	1	SU	25	0.388	1.140
Su-4	2	SU	25	0.381	1.115
Su-4	3	SU	25	0.408	1.125
Sk-1	1	SK	25	0.456	1.278
Sk-1	2	SK	25	0.323	1.181
Sk-1	3	SK	25	0.359	1.206
Sk-2	1	SK	25	0.354	1.191
Sk-2	2	SK	25	0.327	1.217
Sk-2	3	SK	25	0.327	1.097
Sk-3	1	SK	25	0.331	1.158
Sk-3	2	SK	25	0.331	1.200
Sk-3	3	SK	25	0.321	1.075
Sk-4	1	SK	25	0.333	1.035
Sk-4	2	SK	25	0.326	1.054
Sk-4	3	SK	25	0.338	1.070
Sa-1	1	SA	25	0.400	1.265
Sa-1	2	SA	25	0.408	1.187
Sa-1	3	SA	25	0.392	1.159
Sa-2	1	SA	25	0.348	1.279
Sa-2	2	SA	25	0.398	1.280
Sa-2	3	SA	25	0.382	1.314
Sa-3	1	SA	25	0.312	1.288
Sa-3	2	SA	25	0.315	1.254
Sa-3	3	SA	25	0.31	1.207
Sa-4	1	SA	25	0.302	1.086
Sa-4	2	SA	25	0.276	1.056
Sa-4	3	SA	25	0.313	1.183
Sm-1	1	SM	25	0.433	1.236
Sm-1	2	SM	25	0.402	1.224
Sm-1	3	SM	25	0.413	1.207
Sm-2	1	SM	25	0.427	1.163
Sm-2	2	SM	25	0.436	1.189
Sm-2	3	SM	25	0.388	1.101
Sm-3	1	SM	25	0.451	1.185
Sm-3	2	SM	25	0.438	1.185
Sm-3	3	SM	25	0.399	1.139
Sm-4	1	SM	25	0.421	1.078
Sm-4	2	SM	25	0.411	1.068
Sm-4	3	SM	25	0.483	1.159
Sm-5	1	SM	25	0.478	1.209
Sm-5	2	SM	25	0.405	1.123
Sm-5	3	SM	25	0.492	1.162
Sm-6	1	SM	25	0.408	1.150
Sm-6	2	SM	25	0.405	1.096
Sm-6	3	SM	25	0.45	1.175
Se-1	1	SE	25	0.382	1.104
Se-1	2	SE	25	0.425	1.237
Se-1	3	SE	25	0.398	1.104
Se-2	1	SE	25	0.378	1.107
Se-2	2	SE	25	0.358	1.110
Se-2	3	SE	25	0.392	1.153
