Specie	Strain	rmax_mean	rmax_se	topt_mean	topt_se	ctmin_mean	ctmin_se	ctmax_mean	ctmax_se
SE	SE-1	0.470	0.01588	29.9	0.56699	6.6	1.93574	35.2	0.43231
SE	SE-2	0.476	0.0138842	27.9	0.4291452	4.9	2.056874	28.0	0.7003406
SE	SE-3	0.254	0.004292	22.8	0.162703	1.4	1.784121	28.0	0.027589
SE	SE-4	0.495	0.01685	29.5	0.56622	7.3	1.90195	35.2	0.40136
SE	SE-5	0.469	0.02248	29.5	0.34661	3.9	2.66467	33.2	2.35971
SE	SE-6	0.304	0.009919	26.1	0.503203	7.8	1.997889	32.0	0.280734
SU	SU-1	0.491	0.3552	30.34	1.19154	2.80	1.08866	34.43	0.08749
SU	SU-2	0.452	0.01293	29.76	0.50821	5.31	1.85923	34.99	0.315
SU	SU-3	0.441	0.01516	29.86	0.61512	4.62	2.2774	34.72	0.28252
SU	SU-4	0.448	0.02824	28.73	0.78189	5.91	2.59804	32.12	1.04667
SA	SA-1	0.430	0.01558	27.83	0.63678	5.09	2.33278	31.95	0.47352
SA	SA-2	0.410	0.01595	28.28	0.56989	5.65	2.28114	32.66	0.95796
SA	SA-3	0.355	0.008036	28.58	0.403239	1.34	2.131727	32.22	0.553086
SA	SA-4	0.353	0.002997	29.44	0.128882	0.00	0.474966	31.52	0.112425
SK	SK-1	0.394	0.004872	27.27	0.204803	7.80	0.858314	33.73	0.41165
SK	SK-2	0.367	0.01535	28.26	0.70402	3.59	2.56457	31.87	0.56195
SK	SK-3	0.403	0.00117273	27.89	0.570134	2.35	2.166324	28.00	0.45122
SK	SK-4	0.329	0.01496	27.07	0.80158	5.95	3.07609	31.73	0.38006
SJ	SJ-1	0.521	0.007131	30.20	0.242001	0.00	1.758946	37.00	0.041379
SJ	SJ-2	0.559	0.007131	30.38	0.242001	0.00	1.758946	31.03	0.041379
SM	SM-1	0.538	0.008248	31.07	0.2107	5.14	0.965469	36.68	0.613509
SM	SM-2	0.635	0.04083	32.23	0.6795	4.30	1.88922	34.75	0.80068
SM	SM-3	0.569	0.08734	31.73	1.6232	5.69	7.29471	36.14	5.21786
SM	SM-4	0.623	0.06947	31.87	1.21132	6.05	3.93477	35.18	1.95109
SM	SM-5	0.585	0.07355	31.35	1.52025	5.73	7.11814	36.71	5.20587
SM	SM-6	0.596	0.01555	31.51	0.33329	5.70	1.11552	35.17	0.42897
SP	SP-1	0.539	0.06588	32.97	1.9439	0.00	3.51197	34.09	0.35588
SP	SP-2	0.531	0.007113	32.19	0.242089	5.11	0.876832	38.07	0.150601
SP	SP-3	0.527	0.06703	31.35	1.56581	6.94	5.35423	35.56	2.64222
SP	SP-4	0.465	0.01747	30.47	0.58968	10.03	1.71364	37.97	0.35182
SP	SP-5	0.612	0.02262	33.33	0.57863	6.54	1.92654	38.42	0.6074
SP	SP-6	0.524	0.01489	31.05	0.50888	2.93	2.48545	37.53	0.17482
SP	SP-7	0.503	0.01352	31.69	0.39059	6.85	1.42352	37.00	0.0668
SP	SP-8	0.431	0.01338	32.66	0.55317	4.44	1.97997	37.59	0.20487
SP	SP-9	0.577	0.01417	32.42	0.4103	7.27	1.3552	38.51	0.37851
SC	SC-1	0.414	0.004942	32.67	0.204296	0.71	1.02423	40.01	0.047598
SC	SC-2	0.681	0.03174	32.72	0.56725	10.07	1.71542	40.01	0.18026
SC	SC-3	0.666	0.01946	33.34	0.42174	8.61	1.45775	40.01	0.11389
SC	SC-4	0.684	0.01271	33.54	0.24933	7.83	0.98539	39.87	0.65624
SC	SC-5	0.637	0.007587	33.67	0.159497	5.07	0.679539	39.75	0.41075
SC	SC-6	0.587	0.0148	32.73	0.388	8.46	1.2592	39.13	0.5605
SC	SC-7	0.584	0.01927	32.42	0.51491	8.78	1.58812	38.34	0.4257
SC	SC-8	0.634	0.02342	33.68	0.61493	10.33	1.78473	41.72	0.56772
SC	SC-9	0.691	0.01774	33.86	0.45519	9.08	1.60842	41.97	0.47286
SC	SC-10	0.681	0.01749	33.23	0.38078	7.48	1.33006	39.27	0.67475
SC	SC-11	0.650	0.01277	33.08	0.28569	8.56	0.98383	40.00	0.08192
SC	SC-12	0.614	0.01526	32.80	0.40532	6.98	1.38087	38.88	0.51283
SC	SC-13	0.708	0.02071	34.23	0.59128	4.58	2.19603	41.86	0.57572
SC	SC-14	0.702	0.06155	36.22	1.46033	7.11	5.01162	40.51	0.50959
SC	SC-15	0.415	0.01038	31.37	0.40205	10.77	1.14547	39.81	0.62498
SC	SC-16	0.631	0.01355	32.57	0.36078	6.86	1.21659	38.62	0.36943
