Specie	Strain	rmax	topt	ctmin	ctmax	thermal_tolerance	breadth
SE	SE-1	0.470	29.9	6.6	35.2	28.57	7.86
SE	SE-2	0.476	27.9	4.9	28.0	23.06	3.34
SE	SE-3	0.254	22.8	1.4	28.0	26.64	7.49
SE	SE-4	0.495	29.5	7.3	35.2	27.85	8.00
SE	SE-5	0.469	29.5	3.9	33.2	29.38	7.05
SE	SE-6	0.304	26.1	7.8	32.0	24.17	7.41
SU	SU-1	0.491	30.34	2.80	34.43	31.63	7.59
SU	SU-2	0.452	29.76	5.31	34.99	29.68	8.02
SU	SU-3	0.441	29.86	4.62	34.72	30.10	7.85
SU	SU-4	0.448	28.73	5.91	32.12	26.21	6.29
SA	SA-1	0.430	27.83	5.09	31.95	26.86	6.87
SA	SA-2	0.410	28.28	5.65	32.66	27.01	7.07
SA	SA-3	0.355	28.58	1.34	32.22	30.88	7.19
SA	SA-4	0.353	29.44	0.00	31.52	31.52	6.98
SK	SK-1	0.394	27.27	7.80	33.73	25.94	8.06
SK	SK-2	0.367	28.26	3.59	31.87	28.28	6.75
SK	SK-3	0.403	27.89	2.35	28.00	25.65	3.61
SK	SK-4	0.329	27.07	5.95	31.73	25.78	7.02
SJ	SJ-1	0.521	30.20	0.00	37.00	37.00	11.08
SJ	SJ-2	0.559	30.38	0.00	31.03	31.03	5.75
SM	SM-1	0.538	31.07	5.14	36.68	31.55	8.54
SM	SM-2	0.635	32.23	4.30	34.75	30.45	6.20
SM	SM-3	0.569	31.73	5.69	36.14	30.45	7.63
SM	SM-4	0.623	31.87	6.05	35.18	29.13	6.64
SM	SM-5	0.585	31.35	5.73	36.71	30.98	8.32
SM	SM-6	0.596	31.51	5.70	35.17	29.47	7.02
SP	SP-1	0.539	32.97	0.00	34.09	34.09	6.95
SP	SP-2	0.531	32.19	5.11	38.07	32.96	8.94
SP	SP-3	0.527	31.35	6.94	35.56	28.62	7.22
SP	SP-4	0.465	30.47	10.03	37.97	27.94	8.98
SP	SP-5	0.612	33.33	6.54	38.42	31.88	8.29
SP	SP-6	0.524	31.05	2.93	37.53	34.60	9.56
SP	SP-7	0.503	31.69	6.85	37.00	30.15	8.16
SP	SP-8	0.431	32.66	4.44	37.59	33.15	8.39
SP	SP-9	0.577	32.42	7.27	38.51	31.24	8.80
SC	SC-1	0.414	32.67	0.71	40.01	39.29	10.86
SC	SC-2	0.681	32.72	10.07	40.01	29.94	9.21
SC	SC-3	0.666	33.34	8.61	40.01	31.40	9.14
SC	SC-4	0.684	33.54	7.83	39.87	32.04	9.08
SC	SC-5	0.637	33.67	5.07	39.75	34.67	9.35
SC	SC-6	0.587	32.73	8.46	39.13	30.67	8.86
SC	SC-7	0.584	32.42	8.78	38.34	29.56	8.42
SC	SC-8	0.634	33.68	10.33	41.72	31.39	9.87
SC	SC-9	0.691	33.86	9.08	41.97	32.89	10.16
SC	SC-10	0.681	33.23	7.48	39.27	31.79	8.84
SC	SC-11	0.650	33.08	8.56	40.00	31.45	9.27
SC	SC-12	0.614	32.80	6.98	38.88	31.90	8.88
SC	SC-13	0.708	34.23	4.58	41.86	37.28	10.68
SC	SC-14	0.702	36.22	7.11	40.51	33.41	7.98
SC	SC-15	0.415	31.37	10.77	39.81	29.04	9.63
SC	SC-16	0.631	32.57	6.86	38.62	31.76	8.88
