Strain	Strain_2	Condition	Line	Generation	Replicate	Temperature	Highlight	Species	Rate	OD	Rate_fitness	OD_fitness	Line.1	Strain_3
SC	C	Ancestral	SC_Ancestral	0	1	Control	SC	SC	0.121	1.046	0.007	0.029	Ancestral	C_Ancestral
SC	C	Ancestral	SC_Ancestral	0	2	Control	SC	SC	0.117	1.07	0.003	0.053	Ancestral	C_Ancestral
SC	C	Ancestral	SC_Ancestral	0	3	Control	SC	SC	0.103	0.935	-0.011	-0.082	Ancestral	C_Ancestral
SC-1	C	Control	SC-1_Control	400	1	Control	SC	SC	0.145	1.2	0.031	0.183	1	C_Control
SC-1	C	Control	SC-1_Control	400	2	Control	SC	SC	0.111	0.924	-0.003	-0.093	1	C_Control
SC-1	C	Control	SC-1_Control	400	3	Control	SC	SC	0.101	0.854	-0.013	-0.163	1	C_Control
SC-2	C	Control	SC-2_Control	400	1	Control	SC	SC	0.116	1.036	0.002	0.019	2	C_Control
SC-2	C	Control	SC-2_Control	400	2	Control	SC	SC	0.129	1.154	0.015	0.137	2	C_Control
SC-2	C	Control	SC-2_Control	400	3	Control	SC	SC	0.086	0.83	-0.027	-0.187	2	C_Control
SC-3	C	Control	SC-3_Control	400	1	Control	SC	SC	0.097	0.901	-0.017	-0.116	3	C_Control
SC-3	C	Control	SC-3_Control	400	2	Control	SC	SC	0.112	1.024	-0.002	0.007	3	C_Control
SC-3	C	Control	SC-3_Control	400	3	Control	SC	SC	0.084	0.773	-0.03	-0.243	3	C_Control
SC-4	C	Control	SC-4_Control	400	1	Control	SC	SC	0.119	1.059	0.005	0.042	4	C_Control
SC-4	C	Control	SC-4_Control	400	2	Control	SC	SC	0.091	0.839	-0.022	-0.178	4	C_Control
SC-4	C	Control	SC-4_Control	400	3	Control	SC	SC	0.122	1.057	0.008	0.04	4	C_Control
SC-1	C	Treatment	SC-1_Treatment	400	1	Control	SC	SC	0.12	1.129	0.006	0.113	1	C_Treatment
SC-1	C	Treatment	SC-1_Treatment	400	2	Control	SC	SC	0.104	0.925	-0.01	-0.092	1	C_Treatment
SC-1	C	Treatment	SC-1_Treatment	400	3	Control	SC	SC	0.124	1.11	0.01	0.094	1	C_Treatment
SC-2	C	Treatment	SC-2_Treatment	400	1	Control	SC	SC	0.104	1.068	-0.01	0.052	2	C_Treatment
SC-2	C	Treatment	SC-2_Treatment	400	2	Control	SC	SC	0.122	1.407	0.008	0.39	2	C_Treatment
SC-2	C	Treatment	SC-2_Treatment	400	3	Control	SC	SC	0.123	1.318	0.009	0.301	2	C_Treatment
SC-3	C	Treatment	SC-3_Treatment	400	1	Control	SC	SC	0.121	1.296	0.007	0.279	3	C_Treatment
SC-3	C	Treatment	SC-3_Treatment	400	2	Control	SC	SC	0.109	1.22	-0.005	0.203	3	C_Treatment
SC-3	C	Treatment	SC-3_Treatment	400	3	Control	SC	SC	0.065	0.674	-0.048	-0.343	3	C_Treatment
SC-4	C	Treatment	SC-4_Treatment	400	1	Control	SC	SC	0.086	0.815	-0.028	-0.201	4	C_Treatment
SC-4	C	Treatment	SC-4_Treatment	400	2	Control	SC	SC	0.106	0.968	-0.008	-0.049	4	C_Treatment
SC-4	C	Treatment	SC-4_Treatment	400	3	Control	SC	SC	0.114	1.032	0	0.016	4	C_Treatment
SC	C	Ancestral	SC_Ancestral	0	1	Treatment	SC	SC	0.176	0.997	0.002	0.003	Ancestral	C_Ancestral
SC	C	Ancestral	SC_Ancestral	0	2	Treatment	SC	SC	0.166	0.976	-0.008	-0.018	Ancestral	C_Ancestral
SC	C	Ancestral	SC_Ancestral	0	3	Treatment	SC	SC	0.179	1.01	0.005	0.016	Ancestral	C_Ancestral
SC-1	C	Control	SC-1_Control	400	1	Treatment	SC	SC	0.113	0.711	-0.061	-0.283	1	C_Control
SC-1	C	Control	SC-1_Control	400	2	Treatment	SC	SC	0.133	0.772	-0.041	-0.223	1	C_Control
SC-1	C	Control	SC-1_Control	400	3	Treatment	SC	SC	0.155	0.846	-0.019	-0.148	1	C_Control
SC-2	C	Control	SC-2_Control	400	1	Treatment	SC	SC	0.182	1.037	0.008	0.042	2	C_Control
SC-2	C	Control	SC-2_Control	400	2	Treatment	SC	SC	0.166	0.992	-0.008	-0.003	2	C_Control
SC-2	C	Control	SC-2_Control	400	3	Treatment	SC	SC	0.2	1.136	0.026	0.141	2	C_Control
SC-3	C	Control	SC-3_Control	400	1	Treatment	SC	SC	0.155	0.936	-0.019	-0.058	3	C_Control
SC-3	C	Control	SC-3_Control	400	2	Treatment	SC	SC	0.173	0.96	-0.001	-0.035	3	C_Control
SC-3	C	Control	SC-3_Control	400	3	Treatment	SC	SC	0.202	1.174	0.028	0.18	3	C_Control
SC-4	C	Control	SC-4_Control	400	1	Treatment	SC	SC	0.176	1.205	0.002	0.211	4	C_Control
SC-4	C	Control	SC-4_Control	400	2	Treatment	SC	SC	0.195	1.106	0.021	0.112	4	C_Control
SC-4	C	Control	SC-4_Control	400	3	Treatment	SC	SC	0.166	0.924	-0.008	-0.07	4	C_Control
SC-1	C	Treatment	SC-1_Treatment	400	1	Treatment	SC	SC	0.161	0.941	-0.013	-0.053	1	C_Treatment
SC-1	C	Treatment	SC-1_Treatment	400	2	Treatment	SC	SC	0.153	0.906	-0.021	-0.088	1	C_Treatment
SC-1	C	Treatment	SC-1_Treatment	400	3	Treatment	SC	SC	0.158	0.93	-0.016	-0.064	1	C_Treatment
SC-2	C	Treatment	SC-2_Treatment	400	1	Treatment	SC	SC	0.184	1.182	0.01	0.188	2	C_Treatment
SC-2	C	Treatment	SC-2_Treatment	400	2	Treatment	SC	SC	0.153	1.032	-0.021	0.037	2	C_Treatment
SC-2	C	Treatment	SC-2_Treatment	400	3	Treatment	SC	SC	0.184	1.329	0.01	0.334	2	C_Treatment
SC-3	C	Treatment	SC-3_Treatment	400	1	Treatment	SC	SC	0.206	1.42	0.032	0.426	3	C_Treatment
SC-3	C	Treatment	SC-3_Treatment	400	2	Treatment	SC	SC	0.153	1.028	-0.021	0.033	3	C_Treatment
SC-3	C	Treatment	SC-3_Treatment	400	3	Treatment	SC	SC	0.158	1.118	-0.016	0.124	3	C_Treatment
SC-4	C	Treatment	SC-4_Treatment	400	1	Treatment	SC	SC	0.201	1.175	0.027	0.181	4	C_Treatment
SC-4	C	Treatment	SC-4_Treatment	400	2	Treatment	SC	SC	0.185	1.178	0.011	0.184	4	C_Treatment
SC-4	C	Treatment	SC-4_Treatment	400	3	Treatment	SC	SC	0.184	1.078	0.01	0.084	4	C_Treatment
SU1	1	Ancestral	SU1_Ancestral	0	1	Control	SU-1	SU	0.131	1.247	0.001	0.019	Ancestral	1_Ancestral
SU1	1	Ancestral	SU1_Ancestral	0	2	Control	SU-1	SU	0.131	1.212	0.001	-0.016	Ancestral	1_Ancestral
SU1	1	Ancestral	SU1_Ancestral	0	3	Control	SU-1	SU	0.129	1.224	-0.001	-0.004	Ancestral	1_Ancestral
SU2	2	Ancestral	SU2_Ancestral	0	1	Control	SU-2	SU	0.127	1.242	-0.001	-0.003	Ancestral	2_Ancestral
