Strain	Condition	Individual	Replicate	Highlight.1	Rate	OD	Temperature	Specie	Strain2	Line
SP2-1	Control	I1	1	SP2-1_Control_I1	0.159	1.245	16	SP	SP2	1
SP2-1	Control	I1	2	SP2-1_Control_I1	0.196	0.700	16	SP	SP2	1
SP2-1	Control	I1	3	SP2-1_Control_I1	0.117	1.189	16	SP	SP2	1
SP2-2	Control	I1	1	SP2-2_Control_I1	0.109	0.952	16	SP	SP2	2
SP2-2	Control	I1	2	SP2-2_Control_I1	0.108	1.144	16	SP	SP2	2
SP2-2	Control	I1	3	SP2-2_Control_I1	0.124	1.225	16	SP	SP2	2
SP2-3	Control	I1	1	SP2-3_Control_I1	0.0965	0.874	16	SP	SP2	3
SP2-3	Control	I1	2	SP2-3_Control_I1	0.106	1.071	16	SP	SP2	3
SP2-3	Control	I1	3	SP2-3_Control_I1	0.104	1.019	16	SP	SP2	3
SP2-4	Control	I1	1	SP2-4_Control_I1	0.113	1.179	16	SP	SP2	4
SP2-4	Control	I1	2	SP2-4_Control_I1	0.1385	0.818	16	SP	SP2	4
SP2-4	Control	I1	3	SP2-4_Control_I1	0.164	1.126	16	SP	SP2	4
SP2-1	Control	I2	1	SP2-1_Control_I2	0.163	1.163	16	SP	SP2	1
SP2-1	Control	I2	2	SP2-1_Control_I2	0.186	0.613	16	SP	SP2	1
SP2-1	Control	I2	3	SP2-1_Control_I2	0.0915	0.727	16	SP	SP2	1
SP2-2	Control	I2	1	SP2-2_Control_I2	0.113	1.143	16	SP	SP2	2
SP2-2	Control	I2	2	SP2-2_Control_I2	0.117	1.013	16	SP	SP2	2
SP2-2	Control	I2	3	SP2-2_Control_I2	0.122	1.180	16	SP	SP2	2
SP2-3	Control	I2	1	SP2-3_Control_I2	0.0976	1.076	16	SP	SP2	3
SP2-3	Control	I2	2	SP2-3_Control_I2	0.102	1.124	16	SP	SP2	3
SP2-3	Control	I2	3	SP2-3_Control_I2	0.1	1.135	16	SP	SP2	3
SP2-4	Control	I2	1	SP2-4_Control_I2	0.115	1.230	16	SP	SP2	4
SP2-4	Control	I2	2	SP2-4_Control_I2	0.114	1.036	16	SP	SP2	4
SP2-4	Control	I2	3	SP2-4_Control_I2	0.114	1.155	16	SP	SP2	4
