Species Strain Condition Line Genotype RSS r2 rmax rmax_se topt topt_se ctmin ctmin_se ctmax ctmax_se tolerance breadth An_rmax An_topt An_ctmax An_ctmin An_tolerance An_breadth rmax_rel topt_rel ctmax_rel ctmin_rel tolerance_rel breadth_rel
Se Se-1 Ancestral Ancestral Ancestral 0.002 0.994 0.468 0.025 30.314 0.9 5.808 3.415 35.022 0.645 29.214 7.629 0.468 30.314 35.022 5.808 29.214 7.629 0 0 0 0 0 0
Se Se-1 Control 1 I1 6.781e-06 0.999 0.396 0.002 27.619 0.113 5.981 0.439 36.554 0.12 30.573 10.16 0.468 30.314 35.022 5.808 29.214 7.629 -0.072 -2.695 1.532 0.173 1.359 2.531
Se Se-1 Control 1 I2 0.003 0.949 0.378 0.024 28.429 1.253 7.77 4.907 36.694 1.746 28.924 9.53 0.468 30.314 35.022 5.808 29.214 7.629 -0.09 -1.885 1.672 1.962 -0.289999999999999 1.901
Se Se-1 Control 1 I3 0.002 0.961 0.388 0.021 28.24 1.086 7.049 4.443 36.429 1.327 29.38 9.555 0.468 30.314 35.022 5.808 29.214 7.629 -0.08 -2.074 1.407 1.241 0.166 1.926
Se Se-1 Control 2 I1 0.002 0.957 0.369 0.021 28.678 1.183 6.503 5.149 37.163 2.03 30.66 9.949 0.468 30.314 35.022 5.808 29.214 7.629 -0.099 -1.636 2.141 0.695 1.446 2.32
Se Se-1 Control 2 I2 0.002 0.955 0.382 0.023 28.507 1.172 7.303 4.687 36.531 1.551 29.228 9.482 0.468 30.314 35.022 5.808 29.214 7.629 -0.086 -1.807 1.509 1.495 0.0140000000000029 1.853
Se Se-1 Control 2 I3 0.002 0.952 0.38 0.023 28.499 1.222 6.98 5.015 36.61 1.665 29.63 9.598 0.468 30.314 35.022 5.808 29.214 7.629 -0.088 -1.815 1.588 1.172 0.416 1.969
Se Se-1 Control 3 I1 0.003 0.947 0.383 0.025 28.401 1.274 6.61 5.277 36.205 1.447 29.595 9.423 0.468 30.314 35.022 5.808 29.214 7.629 -0.085 -1.913 1.183 0.802 0.381 1.794
Se Se-1 Control 3 I2 0.002 0.968 0.384 0.019 28.682 0.988 6.187 4.138 36.093 1.107 29.906 9.271 0.468 30.314 35.022 5.808 29.214 7.629 -0.084 -1.632 1.07100000000001 0.379 0.692 1.642
Se Se-1 Control 3 I3 0.002 0.956 0.384 0.023 28.725 1.162 5.951 4.929 36.093 1.31 30.142 9.285 0.468 30.314 35.022 5.808 29.214 7.629 -0.084 -1.589 1.07100000000001 0.143 0.928000000000001 1.656
Se Se-1 Control 4 I1 0.002 0.945 0.368 0.024 29.271 1.404 4.012 7.099 37.319 2.879 33.307 10.209 0.468 30.314 35.022 5.808 29.214 7.629 -0.1 -1.043 2.297 -1.796 4.093 2.58
Se Se-1 Control 4 I2 0.0001284 0.997 0.391 0.007 28.284 0.458 4.576 1.912 36.131 0.46 31.555 9.789 0.468 30.314 35.022 5.808 29.214 7.629 -0.077 -2.03 1.109 -1.232 2.341 2.16
