"Grupo1","Grupo2","P_value_16","P_value_18","P_value_20","P_value_23","P_value_25","P_value_28","P_value_31","P_value_34","P_value_37","P_value_40"
"SA","SC",0.000136513852097606,0.0928336386865155,0.0335635099484557,0.0465704189636238,0.000146447684288599,4.38748711441926e-08,8.04375144296499e-10,1.62524288964202e-12,7.10292969452297e-11,0.00962143348504724
"SA","SE",0.0787092483143571,0.343107343988071,0.396910719147346,0.316953071549028,0.175665571020392,0.378645262692153,0.32936910395002,0.271406059045042,0.5,0.5
"SA","SJ",0.0729029068488903,0.0199473294445156,0.0266784229751268,7.3501677011994e-05,0.000127786331849097,0.000462497326168367,0.103282071590894,0.0584819454934527,0.518518518518518,0.518518518518518
"SA","SK",0.00534342984572819,0.100179567651458,0.0313068507614329,0.392885441791686,0.365866490970755,0.299888797142092,0.319332785571743,0.5,0.56,0.56
"SA","SM",0.354019240711414,0.497646393599721,0.469155908881119,0.0087305490548557,4.92641229324455e-05,2.60973148699147e-05,9.18119900414974e-07,2.14255900097298e-05,0.099220012449635,0.636363636363636
"SA","SP",0.00163359693624879,0.103254164466809,0.0324559691820833,0.109545049774045,0.170606344596912,0.00510360722551896,0.000794745070572006,2.87682353633362e-05,0.00259661200322624,0.777777777777778
"SA","SU",0.157479766476271,0.442284773638285,0.409261937290063,0.0513296266079816,0.0976575349737151,0.187486645959624,0.108576805545708,0.163563669755315,0.636363636363636,1
"SC","SE",0.00999679617249381,0.199550552268155,0.0492912523076843,0.0847031112458582,0.0018278012452275,4.19794859278124e-09,6.58103074027342e-11,5.9906197047652e-13,6.91441508732158e-14,0.00377455058301578
"SC","SJ",7.97697407997045e-06,0.000251205412490671,0.000145997831324125,0.000955863185284345,0.0729918683169884,0.446876792337305,0.00218360519520091,0.000987151372950543,1.36018786787826e-06,0.065017719047042
"SC","SK",0.366198429153389,0.439274714376333,0.363038730497931,0.0229376416091209,6.19813820089563e-05,9.52452906389746e-10,2.32870010594345e-11,2.43786433446303e-12,9.47057292603063e-11,0.0115457201820567
"SC","SM",0.000149906334837055,0.0904681833135583,0.0246739948160829,0.10170610262256,0.147077003862879,0.248769976216435,0.301269677516028,0.0111540518049899,3.47917431953927e-08,0.00566182587452367
"SC","SP",0.308360525116967,0.499870027604428,0.399067796900759,0.28219217813998,0.00029355459060342,0.000386585618186674,0.000437956338602935,0.000498336496085855,1.0937709957176e-05,0.00166329786510241
"SC","SU",0.0102321007705011,0.0862309937245339,0.095292534218277,0.34083740156432,0.0365133657231818,2.35134978084024e-05,1.06602112702617e-05,1.82068926825676e-08,1.42058593890459e-10,0.0144321502275709
"SE","SJ",0.00397001681917469,0.0037038801788633,0.0118574054931384,0.000101397082492142,0.000803181440014457,0.000529062930486995,0.163745855130328,0.127520685134412,0.538461538461538,0.538461538461538
"SE","SK",0.0778962924181265,0.206031274128525,0.0451209018732212,0.244517628582299,0.0929739972334423,0.192837843707241,0.176045726781986,0.282714644838586,0.583333333333333,0.583333333333333
"SE","SM",0.136570381909731,0.352409463355495,0.39447927838089,0.0152679627761396,0.000385488212934919,2.4285165701423e-05,7.67779063177294e-07,4.57851134822444e-05,0.0826326254158569,0.666666666666667
"SE","SP",0.0514630119703007,0.223185345875622,0.0460852134681367,0.2269874252823,0.458975444980721,0.0056036755463984,0.00105301587541724,6.97357511369477e-05,0.000764763303225885,0.823529411764706
"SE","SU",0.378275523753917,0.272319685961428,0.476479967316662,0.086304084244201,0.31042437593077,0.258443525609711,0.169133470551378,0.316226048366558,0.666666666666667,1
"SJ","SK",0.00013450000947147,0.00037336291510695,0.000107053721003262,5.15563524103271e-05,6.56651335589969e-05,7.35096284406829e-05,0.0489853715322116,0.0621370670867934,0.608695652173913,0.608695652173913
"SJ","SM",0.0310746127919419,0.0130742402916955,0.0196385937302172,0.0217043912977528,0.231961214303069,0.372068588266431,0.0133710944696972,0.0866795992708135,0.163899704059332,0.7
"SJ","SP",5.67588125574868e-05,0.000271304768052196,7.39723193612873e-05,0.000521958047068253,0.000425209730881188,0.0529287100391074,0.178085640888468,0.13268948289618,0.020700400515644,0.875
"SJ","SU",0.00946033047043993,0.028950116577951,0.0126931877714157,0.00852303488947029,0.00539954564919076,0.00583036353039765,0.395427737307907,0.230630584246016,0.7,1
"SK","SM",0.00896265136757425,0.0932818756719932,0.0264361491913742,0.00383274977213675,2.75756364984839e-05,1.64617922567836e-06,5.37515717865314e-08,2.57107080116758e-05,0.105834679946277,0.736842105263158
"SK","SP",0.478740677521903,0.431771228912842,0.397796851744916,0.0721197434217084,0.099132646007343,0.000529871253725074,8.97737686960068e-05,3.28779832723842e-05,0.00285627320354886,0.933333333333333
"SK","SU",0.0632778516059848,0.0928904674906028,0.0719584616020669,0.0307807311169154,0.0523622585352952,0.0702846398867519,0.04141067286495,0.17135241593414,0.736842105263158,1
"SM","SP",0.00208778187148977,0.0995627921610773,0.0284086678276,0.0566723575718948,0.000122017330837114,0.0262454197646364,0.019406229222157,0.312682379569277,0.0943961613562973,1
"SM","SU",0.262077632059611,0.428886875104124,0.403825199703073,0.276575959100422,0.00704023828849114,0.00142339212272863,0.000689376556776021,0.00151131580623,0.11339429994244,1
"SP","SU",0.0396600151801448,0.0858084685503842,0.0785509148405278,0.24244619633006,0.274411383203688,0.0819476421483145,0.067042559384649,0.00293228032324952,0.00317363689283207,1
