"Grupo1","Grupo2","P_value"
"Se-1","Se-2",0.0325191035856989
"Se-1","Se-3",0.00714294750506033
"Se-2","Se-3",0.260716137577406
"Se-1","Se-4",0.398255928983477
"Se-2","Se-4",0.0190101368223223
"Se-3","Se-4",0.00449311816832051
"Se-1","Se-5",0.353523624525308
"Se-2","Se-5",0.0808694236354391
"Se-3","Se-5",0.0175522973421565
"Se-4","Se-5",0.275854836630486
"Se-1","Se-6",0.0283496624230207
"Se-2","Se-6",0.454892453814596
"Se-3","Se-6",0.25553697987129
"Se-4","Se-6",0.0228931539424431
"Se-5","Se-6",0.0715157438082957
