"Grupo1","Grupo2","P_value"
"Sp-1","Sp-2",0.486139092390386
"Sp-1","Sp-3",0.325684894059415
"Sp-2","Sp-3",0.325767512847547
"Sp-1","Sp-4",0.2226170104431
"Sp-2","Sp-4",0.225988477769851
"Sp-3","Sp-4",0.449043791037227
"Sp-1","Sp-5",0.467669934545965
"Sp-2","Sp-5",0.466437811333815
"Sp-3","Sp-5",0.245381145984664
"Sp-4","Sp-5",0.321386209791402
"Sp-1","Sp-6",0.492411678410636
"Sp-2","Sp-6",0.49256664146894
"Sp-3","Sp-6",0.317548245278754
"Sp-4","Sp-6",0.24512704945314
"Sp-5","Sp-6",0.456788753881554
"Sp-1","Sp-7",0.261225089864261
"Sp-2","Sp-7",0.26192414598663
"Sp-3","Sp-7",0.467560389768803
"Sp-4","Sp-7",0.454030149338484
"Sp-5","Sp-7",0.206428974748469
"Sp-6","Sp-7",0.255283594248961
"Sp-1","Sp-8",0.227044522017488
"Sp-2","Sp-8",0.245992637090678
"Sp-3","Sp-8",0.366838085827896
"Sp-4","Sp-8",0.473368390579369
"Sp-5","Sp-8",0.46065692594973
"Sp-6","Sp-8",0.328978896967411
"Sp-7","Sp-8",0.478640100033606
"Sp-1","Sp-9",0.480921104445607
"Sp-2","Sp-9",0.480572652405066
"Sp-3","Sp-9",0.263120481363949
"Sp-4","Sp-9",0.282836588388724
"Sp-5","Sp-9",0.471277500288848
"Sp-6","Sp-9",0.472800472504169
"Sp-7","Sp-9",0.25955288460996
"Sp-8","Sp-9",0.353664397151904
